0,white,balsamic,ricotta,"['meatballs', 'olives']",9.0
1,red,balsamic,mozzarella,"['peppers', 'arugula', 'olives', 'sausage', 'pepperoni', 'mushrooms', 'meatballs']",11.5
2,pesto,olive oil,feta,[],8.0
3,pesto,balsamic,mozzarella,"['pepperoni', 'olives', 'sausage', 'peppers', 'arugula']",10.5
4,white,balsamic,mozzarella,"['arugula', 'prosciutto']",9.0
5,red,olive oil,feta,"['pepperoni', 'prosciutto']",9.0
6,pesto,balsamic,feta,['meatballs'],8.5
7,pesto,balsamic,feta,"['prosciutto', 'mushrooms', 'sausage', 'olives']",10.0
8,red,olive oil,mozzarella,"['sausage', 'arugula', 'olives']",9.5
9,red,olive oil,mozzarella,"['arugula', 'mushrooms', 'pepperoni', 'prosciutto', 'meatballs']",10.5
10,pesto,olive oil,feta,"['peppers', 'arugula', 'prosciutto', 'pepperoni', 'meatballs']",10.5
11,white,olive oil,ricotta,"['sausage', 'mushrooms', 'arugula', 'olives', 'meatballs']",10.5
12,red,olive oil,ricotta,['meatballs'],8.5
13,pesto,balsamic,mozzarella,"['sausage', 'meatballs', 'pepperoni', 'mushrooms']",10.0
14,white,olive oil,feta,"['olives', 'peppers', 'sausage', 'prosciutto', 'meatballs', 'mushrooms']",11.0
15,white,olive oil,mozzarella,"['arugula', 'prosciutto', 'mushrooms', 'meatballs', 'sausage', 'pepperoni', 'olives']",11.5
16,white,balsamic,mozzarella,['olives'],8.5
17,red,balsamic,feta,['peppers'],8.5
18,pesto,olive oil,feta,[],8.0
19,red,olive oil,mozzarella,['pepperoni'],8.5
20,white,olive oil,feta,"['mushrooms', 'meatballs', 'prosciutto', 'olives', 'sausage', 'arugula', 'pepperoni']",11.5
21,pesto,olive oil,mozzarella,"['peppers', 'mushrooms', 'meatballs']",9.5
22,red,balsamic,ricotta,[],8.0
23,red,balsamic,feta,"['mushrooms', 'olives', 'peppers', 'pepperoni', 'arugula', 'sausage']",11.0
24,red,balsamic,mozzarella,"['olives', 'peppers', 'prosciutto', 'mushrooms', 'pepperoni']",10.5
25,red,balsamic,mozzarella,"['peppers', 'pepperoni', 'mushrooms', 'prosciutto', 'arugula']",10.5
26,pesto,balsamic,feta,"['olives', 'peppers', 'mushrooms', 'arugula', 'meatballs', 'pepperoni', 'sausage']",11.5
27,pesto,olive oil,feta,"['prosciutto', 'peppers', 'olives', 'meatballs', 'arugula']",10.5
28,pesto,olive oil,feta,"['peppers', 'prosciutto', 'pepperoni', 'mushrooms']",10.0
29,red,olive oil,mozzarella,"['arugula', 'olives', 'peppers', 'sausage', 'mushrooms']",10.5
30,white,balsamic,ricotta,"['mushrooms', 'arugula', 'prosciutto', 'sausage']",10.0
31,pesto,olive oil,ricotta,"['mushrooms', 'peppers', 'pepperoni', 'prosciutto', 'arugula']",10.5
32,pesto,balsamic,mozzarella,['prosciutto'],8.5
33,red,balsamic,mozzarella,"['peppers', 'arugula', 'prosciutto', 'sausage', 'olives', 'mushrooms', 'pepperoni']",11.5
34,pesto,olive oil,ricotta,"['pepperoni', 'olives', 'meatballs', 'sausage', 'peppers']",10.5
35,pesto,balsamic,ricotta,"['meatballs', 'arugula', 'prosciutto']",9.5
36,white,balsamic,ricotta,"['sausage', 'arugula', 'prosciutto', 'pepperoni', 'peppers', 'mushrooms', 'meatballs']",11.5
37,pesto,olive oil,feta,"['peppers', 'mushrooms', 'meatballs', 'prosciutto', 'arugula', 'olives', 'pepperoni']",11.5
38,red,balsamic,feta,"['prosciutto', 'peppers', 'pepperoni', 'arugula', 'meatballs']",10.5
39,red,balsamic,ricotta,"['prosciutto', 'pepperoni', 'meatballs', 'olives', 'arugula', 'peppers']",11.0
40,pesto,balsamic,feta,"['olives', 'pepperoni', 'sausage', 'prosciutto', 'arugula', 'peppers']",11.0
41,red,balsamic,mozzarella,"['mushrooms', 'arugula', 'prosciutto', 'olives', 'meatballs']",10.5
42,red,olive oil,feta,"['meatballs', 'mushrooms', 'peppers']",9.5
43,red,olive oil,ricotta,"['olives', 'arugula', 'meatballs']",9.5
44,pesto,balsamic,ricotta,['prosciutto'],8.5
45,pesto,olive oil,feta,"['sausage', 'mushrooms', 'olives', 'peppers', 'arugula', 'meatballs']",11.0
46,red,olive oil,feta,['arugula'],8.5
47,pesto,balsamic,ricotta,"['pepperoni', 'meatballs']",9.0
48,pesto,olive oil,mozzarella,[],8.0
49,pesto,olive oil,feta,"['arugula', 'sausage', 'pepperoni']",9.5
50,white,olive oil,feta,"['meatballs', 'prosciutto', 'olives']",9.5
51,pesto,olive oil,mozzarella,"['meatballs', 'sausage', 'mushrooms', 'pepperoni', 'peppers', 'arugula']",11.0
52,white,balsamic,feta,['olives'],8.5
53,white,balsamic,ricotta,"['prosciutto', 'arugula', 'meatballs', 'pepperoni', 'peppers']",10.5
54,white,balsamic,ricotta,"['sausage', 'arugula', 'peppers', 'prosciutto', 'pepperoni']",10.5
55,white,balsamic,mozzarella,"['pepperoni', 'arugula', 'olives', 'sausage', 'meatballs', 'prosciutto']",11.0
56,white,balsamic,feta,"['prosciutto', 'meatballs', 'mushrooms', 'sausage', 'olives']",10.5
57,red,balsamic,feta,"['pepperoni', 'peppers', 'arugula', 'sausage', 'meatballs', 'mushrooms', 'olives']",11.5
58,red,balsamic,ricotta,"['peppers', 'meatballs', 'mushrooms', 'arugula']",10.0
59,white,olive oil,ricotta,"['pepperoni', 'meatballs', 'arugula', 'olives', 'peppers', 'prosciutto', 'mushrooms']",11.5
60,white,balsamic,mozzarella,"['meatballs', 'pepperoni']",9.0
